aX,aY,aZ,gX,gY,gZ
0.074,-0.399,0.983,-27.893,7.812,5.127
0.054,-0.404,1.015,-32.715,-19.714,-3.662
0.052,-0.413,1.042,-33.081,-23.193,-4.822
0.06,-0.414,1.045,-22.339,-11.719,-0.977
0.063,-0.404,1.015,-15.503,-3.052,1.953
0.066,-0.387,0.982,-10.071,11.597,6.47
0.065,-0.36,0.926,-10.01,13.428,6.348
0.063,-0.356,0.916,-13.916,7.446,3.54
0.062,-0.351,0.952,-16.541,1.77,1.648
0.06,-0.361,0.985,-14.648,-5.493,-1.038
0.06,-0.38,1.001,-9.827,-4.028,0.427
0.065,-0.371,0.985,-4.15,5.188,4.822
0.073,-0.353,0.961,-4.883,6.775,4.272
0.071,-0.358,0.966,-7.568,2.258,1.038
0.068,-0.367,0.977,-7.08,0.488,0.671
0.068,-0.368,0.977,-6.47,0.854,1.038
0.068,-0.37,0.972,-4.883,4.211,3.052
0.072,-0.366,0.959,-3.113,6.653,4.517
0.08,-0.352,0.947,-2.502,10.559,5.493
0.081,-0.344,0.943,-3.418,8.606,3.723
0.077,-0.351,0.943,-2.686,0.732,0.854
0.077,-0.35,0.941,-2.197,-1.038,0.549
0.076,-0.347,0.94,-0.793,0.183,0.366
0.079,-0.341,0.924,0.122,1.526,0.61
0.078,-0.337,0.916,-0.122,2.869,0.671
0.073,-0.336,0.918,-3.052,2.136,-0.244
0.065,-0.349,0.927,-3.479,0.732,-0.305
0.065,-0.351,0.927,-3.967,1.953,1.221
0.072,-0.343,0.932,-4.089,2.93,1.404
0.072,-0.343,0.93,-2.136,0.793,-0.366
0.074,-0.341,0.927,-2.258,0.305,-0.549
0.076,-0.339,0.936,-5.188,1.343,-0.183
0.071,-0.337,0.955,-5.31,1.221,-0.488
0.067,-0.342,0.955,-3.052,0.366,-0.732
0.066,-0.348,0.961,-2.808,0.61,0.061
0.067,-0.348,0.966,-2.747,1.16,0.793
0.068,-0.348,0.954,-0.671,1.343,1.343
0.07,-0.346,0.945,-0.061,0.793,1.587
0.072,-0.343,0.941,-1.709,-0.244,1.831
0.074,-0.342,0.948,-1.892,-0.366,1.343
0.076,-0.346,0.944,0.061,0.244,0.793
0.079,-0.341,0.936,-0.305,1.099,1.221
0.027,-0.584,2.007,125.061,-31.738,-10.986
-0.018,-0.647,2.031,183.533,-47.485,-22.278
-0.129,-0.713,1.917,214.294,-60.181,-22.217
-0.149,-0.716,1.841,243.042,-55.603,0.244
-0.122,-0.707,1.692,244.873,-25.757,18.799
-0.1,-0.69,1.614,257.324,32.41,50.476
-0.019,-0.565,1.391,271.851,41.199,58.35
0.031,-0.489,1.288,296.143,23.865,53.223
0.104,-0.381,1.134,302.551,7.507,43.701
0.107,-0.357,1.092,307.373,-25.513,23.01
0.075,-0.322,1.033,310.547,-32.837,19.653
0.078,-0.294,1.006,315.186,-19.714,25.452
0.068,-0.269,0.918,317.017,-14.221,27.1
0.031,-0.255,0.807,319.702,-8.911,29.846
0.003,-0.211,0.636,321.655,21.545,46.753
0.035,-0.079,0.222,314.392,40.771,53.284
0.073,-0.042,0.053,289.978,44.556,44.739
0.115,-0.036,-0.269,277.71,35.156,37.292
0.133,-0.052,-0.432,243.347,38.086,30.579
0.17,-0.035,-0.878,226.135,45.715,29.907
0.149,-0.01,-1.171,186.218,81.177,40.527
0.039,-0.003,-1.609,159.302,119.08,57.739
0.03,-0.009,-1.745,131.531,154.785,75.989
0.057,-0.024,-1.848,76.599,139.771,69.092
0.074,-0.152,-1.796,42.908,89.05,40.588
0.035,-0.267,-1.599,-27.893,-18.127,-21.851
-0.109,-0.556,-1.018,-56.702,-45.959,-37.537
-0.154,-0.694,-0.74,-92.163,-37.476,-29.114
-0.088,-0.891,-0.323,-98.877,-20.996,-16.479
-0.028,-0.939,-0.218,-92.957,-8.423,-4.15
0.023,-0.942,-0.244,-86.548,-7.751,-2.747
0.027,-0.902,-0.316,-87.036,3.357,3.418
0.036,-0.804,-0.43,-93.628,10.681,7.263
0.053,-0.767,-0.443,-110.718,13.55,11.353
0.105,-0.734,-0.394,-119.324,10.132,11.108
0.126,-0.732,-0.352,-132.629,1.404,10.986
0.155,-0.726,-0.245,-136.169,-2.93,10.681
0.159,-0.725,-0.192,-138.184,-6.287,12.39
0.183,-0.709,-0.131,-141.357,-1.099,15.686
0.2,-0.701,-0.1,-148.437,8.24,19.592
0.218,-0.695,-0.069,-164.429,22.095,23.132
0.247,-0.674,-0.004,-171.753,19.165,20.813
0.242,-0.667,0.053,-180.542,-5.798,7.69
