aX,aY,aZ,gX,gY,gZ
-0.651,-0.357,1.518,-69.458,266.418,45.898
-0.53,-0.272,1.401,-55.481,278.137,39.978
-0.19,-0.038,1.127,-38.635,279.602,32.288
0.015,0.051,0.962,-2.625,281.799,1.465
0.293,0.121,0.672,10.803,279.358,-13.55
0.359,0.154,0.55,24.78,261.719,-30.701
0.478,0.246,0.359,25.818,251.404,-34.79
0.537,0.268,0.289,9.521,242.432,-36.804
0.626,0.242,0.149,-10.803,240.784,-32.593
0.696,0.226,0.078,-68.542,229.98,-20.874
0.91,0.192,-0.074,-77.454,219.116,-22.522
0.928,0.146,-0.128,-71.167,206.543,-31.189
0.919,0.108,-0.166,-31.25,188.049,-49.255
0.912,0.138,-0.218,-9.644,180.969,-47.18
0.892,0.197,-0.214,-9.399,164.307,-31.189
0.906,0.283,-0.203,-30.212,159.363,-24.963
0.978,0.292,-0.223,-38.086,144.409,-14.526
0.97,0.256,-0.262,-27.527,133.728,-12.024
0.96,0.26,-0.252,5.554,105.835,-20.996
0.97,0.284,-0.152,12.268,89.111,-26.978
0.976,0.236,-0.09,-11.841,67.81,-29.358
0.936,0.074,-0.044,-22.4,69.153,-23.804
0.915,0.038,-0.069,-5.371,90.271,-11.23
0.833,0.057,-0.17,16.235,100.952,-10.864
0.809,0.068,-0.234,42.114,101.379,-11.963
0.856,0.093,-0.296,38.635,83.74,-6.409
0.904,0.128,-0.261,10.01,28.931,11.353
0.956,0.187,-0.098,-3.235,7.996,17.151
0.959,0.187,-0.015,-8.423,-2.197,17.761
0.961,0.177,0.051,4.517,5.615,7.019
0.952,0.14,0.07,11.902,14.771,0.427
